file_name,info
CMG.N_FY2020_CORPORATE GOVERNANCE GUIDELINES.pdf,Successfully downloaded
8316.T_FY2021_Sustainability Report 2022.pdf,"HTTPSConnectionPool(host='portagebay.azureedge.net', port=443): Read timed out."
8031.T_FY2022_Sustainability Report 2022.pdf,Successfully downloaded
8031.T_FY2022_Integrated Report 2022.pdf,Successfully downloaded
BJFN.NS_FY2022_Business Responsibility &Sustainability Report 2022.pdf,Successfully downloaded
PERP.PA_FY2022_Climate Change 2022.pdf,Successfully downloaded
4568.T_FY2022_FY2022 ESG Briefing.pdf,Successfully downloaded
MELI.OQ_FY2022_ESG Report.pdf,Successfully downloaded
NAB.AX_FY2022_2022 Climate Report.pdf,Successfully downloaded
7267.T_FY2022_Sustainability Report 2022.pdf,Successfully downloaded
OXY.N_FY2022_CLIMATE REPORT 2022.pdf,Successfully downloaded
6902.T_FY2022_Integrated Report 2022.pdf,Successfully downloaded
IFXGn.DE_FY2022_Sustainability at Infineon report 2022.pdf,Successfully downloaded
"MRVL.OQ_FY2022_Fiscal Year 2022Environmental, Social andGovernance (ESG) Report.pdf",Successfully downloaded
9434.T_FY2022_Sustainability Report 2022.pdf,Successfully downloaded
CTAS.OQ_FY2022_2022 CINTAS ESG REPORT.pdf,Successfully downloaded
4502.T_FY2022_Annual integrated report 2022.pdf,Successfully downloaded
WBC.AX_FY2022_2022 Sustainability Supplement.pdf,Successfully downloaded
WBC.AX_FY2022_2022 PWC Sustainability Assurance Statement.pdf,Successfully downloaded
INGA.AS_FY2022_2022 Climate Report.pdf,Successfully downloaded
TDG.N_FY2022_2022 STAKEHOLDER REPORT.pdf,Successfully downloaded
MCHP.OQ_FY2022_Sustainability Report 2021.pdf,Successfully downloaded
ATDb.TO_FY2022_Sustainability Report 2022.pdf,Successfully downloaded
ATDb.TO_FY2022_Green Bond Report 2022.pdf,Successfully downloaded
ANZ.AX_FY2022_2022 Annual Report.pdf,Successfully downloaded
8766.T_FY2022_Integrated Annual Report 2022.pdf,Successfully downloaded
AJG.N_FY2022_State of the Sector 202223.pdf,Successfully downloaded
CPG.L_FY2022_Sustainability Report 2022.pdf,Successfully downloaded
DSV.CO_FY2022_Annual Report 2022.pdf,Successfully downloaded
KTKM.NS_FY2022_Integrated Annual Report 2021-22.pdf,Successfully downloaded
TEAM.OQ_FY2022_SustainabilityReport 2022.pdf,Successfully downloaded
STM.PA_FY2022_2022Sustainability report.pdf,Successfully downloaded
GIS.N_FY2022_GLOBAL RESPONSIBILITY REPORT 2023.pdf,Successfully downloaded
FMG.AX_FY2022_2022 SUSTAINABILITYREPORT.pdf,Successfully downloaded
KHC.OQ_FY2022_2022 ESG Report.pdf,Successfully downloaded
D.N_FY2022_CLIMATE REPORT 2022.pdf,Successfully downloaded
"CPRT.OQ_FY2022_Environmental, Social, andGovernance Report .pdf",Successfully downloaded
SIKA.S_FY2022_SUSTAINABILITY REPORT 2022.pdf,Successfully downloaded
PAYX.OQ_FY2022_2022 ESG Report.pdf,Successfully downloaded
