file_name,download_info,intercept_info
en_ar2023_all_web.pdf,Successfully downloaded,success
business-responsibility.pdf,Successfully downloaded,success
CDP%20Climate%20Response%202023.pdf,Successfully downloaded,success
presentation1.pdf,Successfully downloaded,success
Meli_2022_ENG_ed970c196b.pdf,Successfully downloaded,success
2023-climate-report.pdf,Successfully downloaded,success
Honda_Report_2023-en-all.pdf,Successfully downloaded,success
oxy-climate-report-2023.pdf,Successfully downloaded,success
No link,No link,No link
No link,No link,No link
marvell-esg-report-fy23.pdf,Successfully downloaded,success
sbkk_sustainability_report_2023_en.pdf,Successfully downloaded,success
No link,No link,No link
Takeda_2023_Annual_Integrated_Report.pdf,Successfully downloaded,success
WBC_2021-2023_Sustainability_Strategy.pdf,Successfully downloaded,success
PWC-sustainability-assurance-statement.pdf,Successfully downloaded,success
No link,No link,No link
TransDigm-2023-Stakeholder-Report_FINAL.pdf,Successfully downloaded,success
Microchip-Technology-2023-CDP-Climate-Change.pdf,Successfully downloaded,success
ACT_Sustainability_Report_2023.pdf,Successfully downloaded,Failed to open file '../resources/origin_pdf_directory_2023/ACT_Sustainability_Report_2023.pdf'.
CTP-Green-bond-Report-2023-vF.pdf,Successfully downloaded,success
ANZ-Annual-Report-2023.pdf,Successfully downloaded,success
Integrated_Report_2023_e.pdf,Successfully downloaded,success
state-of-the-sector-2023.pdf,Successfully downloaded,success
cgplc_sustainability_report_2023.pdf,Successfully downloaded,success
No link,No link,No link
kotak-mahindra-bank-limited-FY22-23.pdf,Successfully downloaded,success
fy23-atlassian-sustainability-report.pdf,"HTTPSConnectionPool(host='s28.q4cdn.com', port=443): Read timed out.",no such file: '../resources/origin_pdf_directory_2023/fy23-atlassian-sustainability-report.pdf'
No link,No link,No link
General_Mills-Global_Responsibility_2023.pdf,Successfully downloaded,success
02559698.pdf,Successfully downloaded,success
KraftHeinz-2023-ESG-Report.pdf,Successfully downloaded,success
2023-Water-CDP.pdf,Successfully downloaded,success
copart-esg-report-2023.pdf,Successfully downloaded,Failed to open file '../resources/origin_pdf_directory_2023/copart-esg-report-2023.pdf'.
glo-ar-2023-annual-report.pdf,Successfully downloaded,success
paychex-esg-report-fy23.pdf,Successfully downloaded,success
volvo-groups-corporate-governance-report-for-2023.pdf,"HTTPSConnectionPool(host='prod.volvogroup.com', port=443): Max retries exceeded with url: /content/dam/volvo-group/markets/master/investors/corporate-governance/volvo-groups-corporate-governance-report-for-2023.pdf (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f4f8a4083a0>: Failed to establish a new connection: [Errno -2] Name or service not known'))",no such file: '../resources/origin_pdf_directory_2023/volvo-groups-corporate-governance-report-for-2023.pdf'
iqvia-2022-esg-report.pdf,Successfully downloaded,success
